날짜,종목코드,시가총액,상장주식수
2018-01-09,002380,4238439969500,10556513
2018-01-09,002790,11502916110000,82458180
2018-01-09,003550,16151347461600,172557131
2018-01-09,003670,2377567500000,59070000
2018-01-09,004020,7899990472000,133445785
2018-01-09,004170,3056928700500,9845181
2018-01-09,004990,5025180600000,73683000
2018-01-09,005380,33592163047500,220276479
2018-01-09,005387,3874228095000,37613865
2018-01-09,005490,32913030212500,87186835
2018-01-09,005830,4814400000000,70800000
2018-01-09,005930,325328204880000,129098494
2018-01-09,005935,37304185520000,18250580
2018-01-09,006280,2489232594000,11686538
2018-01-09,006400,15093814335000,68764530
2018-01-09,006800,6409963844960,666316408
2018-01-09,007070,3149300000000,77000000
2018-01-09,008770,3524481265800,39248121
2018-01-09,008930,6695086455000,62279874
2018-01-09,009150,7992225472000,74693696
2018-01-09,009830,5595277738050,164809359
2018-01-09,010130,9982230000000,18870000
2018-01-09,010140,3221400000000,390000000
2018-01-09,010950,12834438288000,112582792
2018-01-09,011070,3703902245500,23667107
2018-01-09,011170,13178898605500,34275419
2018-01-09,011200,1379740784475,311805827
2018-01-09,012330,24287293818500,97343863
2018-01-09,012450,1859410000000,52600000
2018-01-09,015760,23945260072100,641964077
2018-01-09,017670,22285816236000,80745711
2018-01-09,018260,18725427600000,77377800
2018-01-09,021240,7302248609600,74818121
2018-01-09,024110,9407644092000,559978815
2018-01-09,028260,25797845848000,189690043
2018-01-09,029780,4448981414400,115858891
2018-01-09,030200,7937798963200,261111808
2018-01-09,032830,25300000000000,200000000
2018-01-09,033780,14827589676000,137292497
2018-01-09,034730,20510026575500,70360297
2018-01-09,035420,31116768976000,32962679
2018-01-09,035720,10661638739000,67908527
2018-01-09,036570,9291175817000,21939022
2018-01-09,042660,1642506835200,106656288
2018-01-09,047050,2492178009800,123375149
2018-01-09,047810,4712921423450,97475107
2018-01-09,051900,17929690156000,15618197
2018-01-09,051910,30037041946500,70592343
2018-01-09,052690,875238000000,38220000
2018-01-09,055550,24800638400100,474199587
2018-01-09,058470,809369847000,15242370
2018-01-09,064350,1589500000000,85000000
2018-01-09,066570,17837611726000,163647814
2018-01-09,068270,35879929020000,122666424
2018-01-09,069960,2550866069000,23402441
2018-01-09,071050,4274183586400,55725992
2018-01-09,078930,5788628049400,92915378
2018-01-09,086790,16161767185200,296003062
2018-01-09,088350,5958115800000,868530000
2018-01-09,090430,17420630020000,58458490
2018-01-09,093370,933237505300,92399753
2018-01-09,096770,18123250544000,92465564
2018-01-09,097950,5026929362000,13176748
2018-01-09,105560,28097095286400,418111537
2018-01-09,111770,1373655508000,44311468
2018-01-09,120110,2215177023600,25549908
2018-01-09,128940,6552946324000,11163452
2018-01-09,138040,2186153015400,142885818
2018-01-09,139480,7665850225000,27875819
2018-01-09,161390,6887453836400,123875069
2018-01-09,185750,1364312250000,9409050
